timestamp,response,url,clientip,"machine.os",tags
"Feb 20, 2023 @ 10:12:21.828",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","229.223.77.37","win xp","success, security"
"Feb 20, 2023 @ 10:11:48.508",200,"https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","74.212.36.153",osx,"success, info"
"Feb 20, 2023 @ 10:11:06.602",200,"https://cdn.elastic-elastic-elastic.org/styles/main.css","27.125.25.29",osx,"warning, security"
"Feb 20, 2023 @ 10:11:01.543",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","227.185.198.250",osx,"success, security"
"Feb 20, 2023 @ 10:09:50.285",200,"https://www.elastic.co/downloads","186.25.202.49","win xp","error, security"
"Feb 20, 2023 @ 10:08:28.192",200,"https://www.elastic.co/products","164.85.94.243","win 8","success, info"
"Feb 20, 2023 @ 10:08:07.181",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","232.167.3.236","win xp","success, info"
"Feb 20, 2023 @ 10:07:35.048",200,"https://www.elastic.co/solutions/app-search","57.165.224.161","win 8","success, security"
"Feb 20, 2023 @ 09:50:20.002",200,"https://www.elastic.co/downloads/elasticsearch","11.68.39.55",osx,"success, info"
"Feb 20, 2023 @ 09:47:51.267",503,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","150.246.234.4",osx,"success, info"
"Feb 20, 2023 @ 09:37:46.579",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","82.235.94.147","win 8","success, info"
"Feb 20, 2023 @ 09:33:24.433",200,"https://www.elastic.co/downloads/beats/filebeat","238.240.66.173",osx,"success, login"
"Feb 20, 2023 @ 09:22:06.121",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","131.240.163.22",osx,"success, info"
"Feb 20, 2023 @ 09:16:35.059",200,"https://www.elastic.co/downloads/beats/metricbeat","126.52.97.147","win 7","success, info"
"Feb 20, 2023 @ 09:15:21.603",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","239.98.170.175",osx,"success, info"
"Feb 20, 2023 @ 09:09:27.145",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","230.40.131.128","win 8","success, info"
"Feb 20, 2023 @ 09:07:14.151",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","195.204.191.118","win xp","success, info"
"Feb 20, 2023 @ 09:06:48.000",200,"https://cdn.elastic-elastic-elastic.org/styles/main.css","110.248.232.101",osx,"error, info"
"Feb 20, 2023 @ 09:01:05.100",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","155.21.88.247",ios,"success, security"
"Feb 20, 2023 @ 08:57:50.565",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","184.31.17.237",osx,"success, security"
"Feb 20, 2023 @ 08:57:11.055",200,"https://www.elastic.co/downloads/beats/metricbeat","79.125.142.209","win 8","success, info"
"Feb 20, 2023 @ 08:56:50.816",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","144.179.84.144","win xp","warning, info"
"Feb 20, 2023 @ 08:38:15.460",200,"https://www.elastic.co/downloads/beats/metricbeat","24.50.227.192",ios,"warning, security"
"Feb 20, 2023 @ 08:36:32.596",200,"https://www.elastic.co/downloads/beats/metricbeat","213.118.26.4",ios,"success, info"
"Feb 20, 2023 @ 08:36:11.953",200,"https://cdn.elastic-elastic-elastic.org/styles/app.css","194.191.216.222",ios,"success, security"
"Feb 20, 2023 @ 08:23:26.246",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","189.88.216.83","win 8","success, security"
"Feb 20, 2023 @ 08:22:05.772",200,"https://www.elastic.co/downloads/beats/metricbeat","23.181.102.75",ios,"success, info"
"Feb 20, 2023 @ 08:10:05.491",200,"https://www.elastic.co/downloads/beats","247.50.93.227",ios,"warning, info"
"Feb 20, 2023 @ 08:08:37.534",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","191.105.163.245",osx,"success, info"
"Feb 20, 2023 @ 08:04:43.609",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","232.20.97.5","win xp","success, info"
"Feb 20, 2023 @ 08:00:07.673",404,"https://www.elastic.co/downloads/beats","128.194.160.151","win xp","success, info"
"Feb 20, 2023 @ 07:54:37.637",404,"https://cdn.elastic-elastic-elastic.org/styles/main.css","223.87.60.27","win xp","success, login"
"Feb 20, 2023 @ 07:41:37.649",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","41.91.106.242","win 7","error, info"
"Feb 20, 2023 @ 07:39:33.059",200,"https://cdn.elastic-elastic-elastic.org/styles/semantic-ui.css","226.154.89.231",osx,"success, info"
"Feb 20, 2023 @ 07:39:32.700",200,"https://www.elastic.co/solutions/business-analytics","33.217.174.45","win 8","success, info"
"Feb 20, 2023 @ 07:36:35.076",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","2.49.53.218","win 7","success, security"
"Feb 20, 2023 @ 07:36:11.894",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","59.227.120.72","win xp","success, info"
"Feb 20, 2023 @ 07:17:26.874",404,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","209.2.133.228","win xp","warning, info"
"Feb 20, 2023 @ 07:09:24.453",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-linux-x86_64.tar.gz","82.235.94.147","win 7","success, info"
"Feb 20, 2023 @ 07:06:27.801",200,"https://cdn.elastic-elastic-elastic.org/styles/ads.css","106.112.44.229",ios,"success, info"
"Feb 20, 2023 @ 07:02:58.078",200,"https://www.elastic.co/downloads/enterprise","190.137.246.222","win xp","warning, info"
"Feb 20, 2023 @ 06:52:14.907",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","54.190.60.72","win 8","success, info"
"Feb 20, 2023 @ 06:48:06.335",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","45.236.189.115","win xp","success, info"
"Feb 20, 2023 @ 06:40:56.012",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","45.91.116.169","win 8","success, info"
"Feb 20, 2023 @ 06:31:52.085",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","193.203.22.224",osx,"success, info"
"Feb 20, 2023 @ 06:27:20.966",200,"https://www.elastic.co/downloads/beats/filebeat","44.162.98.106","win xp","success, info"
"Feb 20, 2023 @ 06:26:51.197",200,"https://www.elastic.co/solutions/logging","40.58.253.236","win 8","success, info"
"Feb 20, 2023 @ 05:24:09.240",200,"https://www.elastic.co/downloads/apm","223.112.248.233",osx,"success, security"
"Feb 20, 2023 @ 05:08:08.182",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","73.105.236.24","win xp","success, info"
"Feb 20, 2023 @ 03:57:28.552",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","35.143.166.159","win 8","success, info"
"Feb 20, 2023 @ 01:00:00.000",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86.tar.gz","138.234.210.146",osx,"success, info"
"Feb 20, 2023 @ 01:00:00.000",200,"https://www.elastic.co/downloads/beats/metricbeat","8.106.16.196","win xp","success, info"
"Feb 20, 2023 @ 00:24:02.493",200,"https://cdn.elastic-elastic-elastic.org/styles/main.css","204.70.91.103","win xp","success, info"
"Feb 19, 2023 @ 21:18:13.592",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","175.187.90.174","win 8","success, info"
"Feb 19, 2023 @ 20:33:29.980",200,"https://cdn.elastic-elastic-elastic.org/styles/ad-blocker.css","54.190.60.72","win xp","warning, info"
"Feb 19, 2023 @ 19:53:05.228",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","155.29.9.237",osx,"success, info"
"Feb 19, 2023 @ 19:45:53.910",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","163.139.91.194",osx,"warning, login"
"Feb 19, 2023 @ 19:42:57.511",200,"https://www.elastic.co/downloads/apm","213.62.75.220",ios,"success, info"
"Feb 19, 2023 @ 19:31:30.868",200,"https://www.elastic.co/downloads/enterprise","114.97.211.20","win 8","success, info"
"Feb 19, 2023 @ 19:30:42.600",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","55.89.141.209",ios,"success, info"
"Feb 19, 2023 @ 19:27:53.772",200,"https://www.elastic.co/downloads","138.77.47.65",osx,"success, info"
"Feb 19, 2023 @ 19:25:06.695",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","214.134.227.125",ios,"success, info"
"Feb 19, 2023 @ 19:08:56.866",200,"https://www.elastic.co/downloads/beats","65.240.119.220",ios,"success, info"
"Feb 19, 2023 @ 19:05:38.085",200,"https://elastic-elastic-elastic.org/people/type:astronauts/name:james-f-reilly/profile","120.188.47.64",osx,"success, info"
"Feb 19, 2023 @ 19:04:21.070",200,"https://www.elastic.co/downloads/beats/metricbeat","201.11.147.140","win 7","success, info"
"Feb 19, 2023 @ 18:53:50.219",200,"https://www.elastic.co/downloads/apm","177.120.218.48","win xp","success, info"
"Feb 19, 2023 @ 18:12:51.151",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","139.135.227.66",ios,"success, info"
"Feb 19, 2023 @ 18:10:50.563",200,"https://www.elastic.co/downloads/beats","17.57.95.228","win xp","success, info"
"Feb 19, 2023 @ 18:09:32.923",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","168.207.246.199",ios,"warning, info"
"Feb 19, 2023 @ 17:57:58.862",200,"https://www.elastic.co/downloads","253.98.45.188","win 7","success, login"
"Feb 19, 2023 @ 17:54:36.777",200,"https://www.elastic.co/downloads","109.188.3.122","win 7","error, security"
"Feb 19, 2023 @ 17:53:19.708",200,"https://artifacts.elastic.co/downloads/beats/filebeat/filebeat-6.3.2-linux-x86_64.tar.gz","90.81.167.164",osx,"success, info"
"Feb 19, 2023 @ 17:50:11.186",200,"https://www.elastic.co/downloads","120.49.143.213","win xp","success, info"
"Feb 19, 2023 @ 17:49:36.736",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","55.119.247.237",osx,"success, security"
"Feb 19, 2023 @ 17:48:57.110",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","166.168.152.39",osx,"success, info"
"Feb 19, 2023 @ 17:44:05.002",200,"https://www.elastic.co/downloads/beats/filebeat","75.142.197.200","win xp","success, info"
"Feb 19, 2023 @ 17:39:58.812",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","90.102.127.25","win 8","error, info"
"Feb 19, 2023 @ 17:32:38.661",200,"https://www.elastic.co/downloads/elasticsearch","224.212.74.197",ios,"success, info"
"Feb 19, 2023 @ 17:32:03.198",200,"https://www.elastic.co/downloads/apm","155.21.88.247",osx,"success, security"
"Feb 19, 2023 @ 17:27:03.095",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","236.120.20.161","win 7","error, info"
"Feb 19, 2023 @ 17:22:27.234",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.tar.gz","121.150.186.26",ios,"success, info"
"Feb 19, 2023 @ 17:22:19.615",200,"https://www.elastic.co/downloads","61.231.10.118",ios,"success, info"
"Feb 19, 2023 @ 17:17:06.563",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-i686.rpm","100.23.142.133","win 8","success, info"
"Feb 19, 2023 @ 17:09:51.507",200,"https://cdn.elastic-elastic-elastic.org/styles/main.css","116.174.134.165","win 8","success, login"
"Feb 19, 2023 @ 17:01:06.069",404,"https://www.elastic.co/downloads","175.215.242.183",ios,"warning, login"
"Feb 19, 2023 @ 16:56:20.096",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.zip","65.180.37.145","win xp","success, security"
"Feb 19, 2023 @ 16:48:20.082",200,"https://www.elastic.co/downloads/beats","44.209.117.254",osx,"success, info"
"Feb 19, 2023 @ 16:29:48.313",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","251.72.244.221","win 7","success, security"
"Feb 19, 2023 @ 16:27:29.374",200,"https://artifacts.elastic.co/downloads/elasticsearch/elasticsearch-6.3.2.deb","110.47.202.158",osx,"error, info"
"Feb 19, 2023 @ 16:18:05.525",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-windows-x86_64.zip","31.238.71.24","win xp","warning, login"
"Feb 19, 2023 @ 16:16:20.179",200,"https://artifacts.elastic.co/downloads/apm-server/apm-server-6.3.2-windows-x86.zip","25.210.185.214","win 8","success, info"
"Feb 19, 2023 @ 16:14:22.481",200,"https://www.elastic.co/downloads/beats/metricbeat","108.131.25.207","win 7","success, info"
"Feb 19, 2023 @ 16:13:21.487",200,"https://www.elastic.co/downloads/enterprise","192.41.143.247",ios,"success, info"
"Feb 19, 2023 @ 16:06:44.788",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","41.91.106.242","win 7","warning, info"
"Feb 19, 2023 @ 16:06:12.060",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","194.12.201.131","win 7","success, security"
"Feb 19, 2023 @ 15:50:23.897",200,"https://www.elastic.co/downloads/beats/metricbeat","160.187.94.51",osx,"success, info"
"Feb 19, 2023 @ 15:46:24.479",200,"https://www.elastic.co/solutions/app-search","158.231.103.156","win 7","success, info"
"Feb 19, 2023 @ 15:44:15.526",200,"https://artifacts.elastic.co/downloads/beats/metricbeat/metricbeat-6.3.2-amd64.deb","148.192.209.125",ios,"success, info"
"Feb 19, 2023 @ 15:40:29.579",200,"https://cdn.elastic-elastic-elastic.org/styles/pretty-layout.css","182.137.50.105","win 7","success, info"
"Feb 19, 2023 @ 15:34:46.824",200,"https://www.elastic.co/downloads/beats/filebeat","240.48.241.188",ios,"success, security"
"Feb 19, 2023 @ 15:32:22.226",200,"https://artifacts.elastic.co/downloads/kibana/kibana-6.3.2-darwin-x86_64.tar.gz","68.198.144.4","win 8","success, info"
"Feb 19, 2023 @ 15:30:54.259",200,"https://www.elastic.co/downloads/beats/filebeat","247.126.133.102","win xp","success, info"
